#gamble(gambleid, high return, high prob, medium return, med prob, low return, low prob)
000, 02.500, 0.466, 01.781, 0.445, 00.476, 0.089
001, 06.085, 0.256, 01.136, 0.299, 00.224, 0.445
002, 03.320, 0.472, 02.462, 0.165, 00.079, 0.364
003, 02.992, 0.439, 01.836, 0.205, 00.872, 0.356
004, 06.618, 0.158, 02.335, 0.346, 00.299, 0.496
005, 06.952, 0.168, 01.785, 0.392, 00.306, 0.440
006, 03.075, 0.307, 02.320, 0.393, 00.481, 0.300
007, 02.986, 0.523, 01.009, 0.363, 00.634, 0.114
008, 02.307, 0.625, 02.257, 0.158, 00.928, 0.217
009, 03.740, 0.263, 02.162, 0.397, 00.463, 0.340
010, 04.092, 0.407, 01.592, 0.193, 00.067, 0.400
011, 05.822, 0.186, 01.591, 0.363, 00.748, 0.451
012, 03.074, 0.450, 01.488, 0.280, 00.742, 0.270
013, 05.477, 0.175, 01.708, 0.334, 00.957, 0.491
014, 08.528, 0.161, 01.866, 0.193, 00.408, 0.646
015, 04.941, 0.237, 02.009, 0.383, 00.156, 0.380
016, 07.428, 0.177, 01.350, 0.447, 00.220, 0.376
017, 03.248, 0.428, 01.560, 0.215, 00.767, 0.357
018, 03.277, 0.366, 01.946, 0.401, 00.083, 0.233
019, 03.992, 0.360, 01.368, 0.313, 00.409, 0.327
020, 04.303, 0.313, 01.524, 0.316, 00.461, 0.370
021, 06.507, 0.209, 01.889, 0.315, 00.101, 0.477
022, 03.593, 0.310, 01.745, 0.407, 00.623, 0.283
023, 05.651, 0.237, 02.160, 0.281, 00.113, 0.482
024, 06.498, 0.208, 02.163, 0.155, 00.492, 0.637
025, 06.492, 0.202, 01.530, 0.401, 00.186, 0.397
026, 02.724, 0.374, 01.878, 0.431, 00.880, 0.195
027, 03.223, 0.367, 02.064, 0.355, 00.306, 0.278
028, 02.509, 0.306, 02.396, 0.504, 00.128, 0.190
029, 03.117, 0.487, 02.247, 0.185, 00.201, 0.328
030, 09.653, 0.114, 01.202, 0.451, 00.829, 0.435
031, 02.577, 0.380, 02.156, 0.395, 00.754, 0.225
032, 03.815, 0.300, 01.993, 0.349, 00.457, 0.351
033, 14.263, 0.079, 01.361, 0.590, 00.198, 0.331
034, 03.170, 0.350, 02.030, 0.369, 00.500, 0.280
035, 05.802, 0.229, 01.402, 0.348, 00.431, 0.423
036, 06.035, 0.144, 01.860, 0.483, 00.623, 0.373
037, 04.219, 0.355, 01.194, 0.369, 00.219, 0.276
038, 03.488, 0.402, 01.245, 0.431, 00.360, 0.167
039, 02.943, 0.411, 01.947, 0.376, 00.273, 0.213
040, 10.047, 0.082, 01.873, 0.509, 00.550, 0.410
